X;Y_22.06.2000;Y_05.07.2005;Y_11.04.2012;Y_19.10.2016;Y_15.11.2016;Y_10.05.2017;Y_21.02.2018;Y_08.08.2018;Y_13.12.2018;Y_27.12.2018;Y_03.05.2019;Y_12.07.2019;Y_02.10.2019;Y_25.03.2020;Y_31.08.2020;Y_13.11.2020;Y_15.05.2021;Y_31.08.2021
182,2222222;0;-457,5804124;-801,5765663;-428,2711863;-882,9156325;-882,9156325;-932,052194;-972,5806664;-992,501771;-932,0520899;-981,6259849;-981,6243881;-992,0383751;-992,0386406;-1017,944609;-1040,496576;-1040,260596;-1045,000659
190,5050505;0;-423,0253954;-759,9782617;-392,9717251;-838,7165446;-838,7165446;-890,2098285;-928,7389776;-948,8490419;-890,2099736;-940,0856152;-940,0878428;-952,0894994;-952,0891289;-979,3028079;-1001,089707;-1001,422946;-1006,866931
198,7878788;0;-390,3754874;-723,1437511;-361,7820679;-799,4943862;-799,4943862;-855,4754786;-888,957824;-909,3230742;-855,4759603;-903,7533009;-903,7606934;-918,8266073;-918,8253778;-944,310764;-966,5226597;-967,7259253;-974,4077998
207,0707071;0;-361,2232103;-690,9520285;-335,4137833;-765,0834286;-765,0834286;-826,4820323;-853,8341252;-874,3693434;-826,4827381;-872,0371918;-872,0480243;-891,0538257;-891,0520242;-912,9403127;-936,4115792;-938,5271468;-946,4282369
215,3535354;0;-337,2010216;-663,2555522;-314,5691503;-735,2843682;-735,2843682;-801,7770461;-823,9551148;-844,4194218;-801,7776584;-844,298703;-844,3081003;-867,5050625;-867,5034996;-885,1507111;-910,344346;-913,1475912;-921,6769173
223,6363636;0;-319,9413786;-639,9067805;-299,9504479;-709,8979011;-709,8979011;-779,9080764;-799,9080267;-819,9048815;-779,9080723;-819,8992495;-819,8991858;-846,9142251;-846,9142356;-860,9012164;-887,9088406;-890,9082395;-898,9025162
231,9191919;0;-310,1926573;-620,3733134;-291,5941338;-688,3372098;-688,3372098;-759,4483968;-781,5634178;-800,6646826;-759,4472116;-798,0413792;-798,0231894;-827,9382255;-827,9412506;-839,9125186;-868,450488;-871,024636;-877,0271681
240,2020202;0;-305,2131777;-602,6034597;-286,9082268;-668,4857026;-668,4857026;-739,0728025;-765,9626468;-784,1983523;-739,0704758;-777,3004861;-777,2647778;-808,9300228;-808,9359614;-820,9635239;-850,3575807;-852,2960967;-855,6577661
248,4848485;0;-301,400162;-584,1706754;-282,6522339;-647,8493479;-647,8493479;-717,4811371;-749,4490271;-767,4282125;-717,4784721;-756,0972267;-756,0563266;-788,1675821;-788,1743842;-802,6007736;-831,7822591;-833,419242;-834,5701535
256,7676768;0;-295,1508326;-562,6484164;-275,5856623;-623,9341147;-623,9341147;-693,3732442;-728,3658722;-747,2765848;-693,3718076;-732,852258;-732,8302114;-763,9288685;-763,9325351;-783,3708089;-810,8766634;-813,0906925;-813,5401731
265,0505051;0;-282,9849257;-535,7154189;-262,5858175;-594,3593702;-594,3593702;-665,5186127;-699,2270931;-720,7996112;-665,5206593;-706,0612047;-706,0926133;-734,5880741;-734,5828506;-761,8666951;-785,8734328;-790,0567493;-792,3418012
273,3333333;0;-264,225528;-503,459432;-243,2254586;-559,3392605;-559,3392605;-634,2803476;-662,4501964;-688,1154937;-634,2870863;-675,9351069;-676,0385251;-700,7212473;-700,7040479;-737,7460633;-756,8471707;-764,2005073;-770,7062956
281,6161616;0;-240,9910616;-468,3703298;-219,7650912;-521,6752914;-521,6752914;-601,6106137;-622,3451237;-652,3957395;-601,6204795;-644,3955147;-644,5469229;-665,0999974;-665,0748168;-711,7280659;-725,7091789;-736,5386044;-748,3223183
289,8989899;0;-215,5208594;-433,0418895;-194,5814783;-484,2808837;-484,2808837;-569,53031;-583,3901816;-616,9439252;-569,5388888;-613,4379657;-613,5696226;-630,5909015;-630,5690058;-684,577771;-694,4502046;-708,1367091;-724,8766887
298,1818182;0;-190,0542544;-400,067888;-170,0513829;-450,0694583;-450,0694583;-540,0603353;-550,063677;-585,0636274;-540,0603642;-585,0579973;-585,05844;-600,060537;-600,0604633;-657,0602466;-665,0609948;-680,0604902;-700,0562261
306,4646465;0;-166,552262;-371,4931636;-148,2082731;-421,2608308;-421,2608308;-514,7428548;-525,6455977;-559,2472388;-514,726454;-560,7852447;-560,5335438;-575,6254689;-575,6673291;-629,9612063;-639,1800864;-653,3618729;-673,9420344
314,7474747;0;-145,8552723;-347,1522915;-129,703366;-397,2820658;-397,2820658;-493,1924469;-508,5909863;-538,7209786;-493,160107;-540,2734206;-539,777105;-556,3823925;-556,4649344;-604,1494908;-617,0278664;-629,0374456;-648,2027748
323,030303;0;-128,521668;-326,3236306;-114,8400326;-376,8574273;-376,8574273;-474,5386093;-496,1406792;-521,8891275;-474,5014529;-522,7041586;-522,133925;-540,6680475;-540,7628827;-580,5148597;-598,4678421;-608,0698708;-624,9066203
331,3131313;0;-115,1098318;-308,2855396;-103,9216439;-358,7111789;-358,7111789;-457,9108398;-485,5355128;-507,1559663;-457,8906214;-507,2590922;-506,9488046;-526,8191736;-526,8707773;-559,9470729;-583,3635205;-591,4418112;-606,121744
339,5959596;0;-106,1296094;-292,3167145;-97,2060937;-341,5908134;-341,5908134;-442,4589733;-474,0913705;-492,966857;-442,4870627;-493,1354537;-493,5732114;-513,2159574;-513,1442642;-543,3009002;-571,5692044;-580,0855969;-593,8334083
347,8787879;0;-100,9451919;-277,7038096;-93,87784938;-324,7921101;-324,7921101;-427,8128794;-460,8955208;-478,7368304;-427,9062573;-479,8986666;-481,5159597;-499,264096;-499,0257652;-530,6052162;-562,7219381;-573,7455258;-588,0698812
356,1616162;0;-97,75859669;-263,7415526;-92,03247368;-308,1670407;-308,1670407;-414,0893838;-446,8321588;-464,8645681;-414,2262924;-467,4876548;-470,4454805;-485,4095834;-485,0601482;-521,0510925;-556,2383743;-570,9607334;-586,8742181
364,4444444;0;-94,72000014;-249,725031;-89,71695654;-291,5923871;-291,5923871;-401,4270339;-432,8656354;-451,7926294;-401,5458904;-455,8580026;-460,0373243;-472,1448185;-471,8414581;-513,7922284;-551,525335;-570,2165962;-588,2009198
